cod_municipio,nombre_municipio,nombre_departamento,cluster,cluster_nombre,total_atenciones,n_registros,pct_no_def,log_total_atenciones,ratio_consultas_proced,pct_CONSULTAS,pct_HOSPITALIZACIONES,pct_PROCEDIMIENTOS DE SALUD,pct_URGENCIAS
68051,ARATOCA,Santander,4,Perfil quirúrgico con buen registro,334973.0,15360.0,24.68,5.525009802787367,0.5957725708667868,36.36,0.62,61.02,2.0
68077,BARBOSA,Santander,3,Grandes centros urbanos,1265619.0,34008.0,27.47,6.102302986012338,0.700086430423509,40.5,0.68,57.84,0.97
68079,BARICHARA,Santander,4,Perfil quirúrgico con buen registro,235173.0,12355.0,20.78,5.3713874593084014,0.5687660668380463,35.4,0.61,62.23,1.77
68081,BARRANCABERMEJA,Santander,3,Grandes centros urbanos,10723017.0,85298.0,19.42,7.030316994508621,0.8741555684230844,45.29,0.73,51.8,2.18
68092,BETULIA,Santander,2,Perfil quirúrgico medio,127580.0,8552.0,19.09,5.105782597814442,0.7186955005231951,41.21,0.74,57.33,0.73
68121,CABRERA,Santander,4,Perfil quirúrgico con buen registro,105471.0,9713.0,9.93,5.02313306369726,0.5879772542648254,36.19,0.4,61.54,1.86
68132,CALIFORNIA,Santander,2,Perfil quirúrgico medio,29589.0,3774.0,27.11,4.471130287843276,0.540859707132735,34.35,1.0,63.5,1.15
68147,CAPITANEJO,Santander,4,Perfil quirúrgico con buen registro,417402.0,14146.0,25.82,5.620554525675489,0.3554241715935652,25.85,0.42,72.72,1.01
68152,CARCASI,Santander,4,Perfil quirúrgico con buen registro,145307.0,8171.0,12.49,5.16228653644631,0.6271409749670619,38.08,0.61,60.71,0.6
68160,CEPITA,Santander,4,Perfil quirúrgico con buen registro,32572.0,3254.0,14.82,4.512844426120799,0.5150625675884444,33.34,0.78,64.72,1.16
68162,CERRITO,Santander,2,Perfil quirúrgico medio,176903.0,12110.0,12.89,5.24773519793176,0.7074699634337455,40.63,0.92,57.42,1.04
68167,CHARALA,Santander,2,Perfil quirúrgico medio,316640.0,12459.0,25.76,5.500565776862321,0.7611459265890779,42.51,0.63,55.84,1.01
68169,CHARTA,Santander,4,Perfil quirúrgico con buen registro,56793.0,3884.0,20.08,4.754294810205447,0.5206611570247934,34.02,0.44,65.33,0.21
68176,CHIMA,Santander,4,Perfil quirúrgico con buen registro,75107.0,5367.0,8.01,4.8756804152958,0.6309681697612732,38.06,0.68,60.31,0.95
68179,CHIPATA,Santander,2,Perfil quirúrgico medio,148076.0,7923.0,28.28,5.170484674238968,0.7225524475524476,41.33,0.58,57.19,0.9
68190,CIMITARRA,Santander,3,Grandes centros urbanos,875491.0,21696.0,5.41,5.942251685918691,0.6556901552636069,38.43,0.5,58.6,2.47
68207,CONCEPCION,Santander,4,Perfil quirúrgico con buen registro,253288.0,10139.0,20.21,5.403614614752119,0.6225241447045343,38.03,0.55,61.08,0.34
68209,CONFINES,Santander,4,Perfil quirúrgico con buen registro,68188.0,6265.0,28.44,4.833707952481562,0.5511786109792755,34.84,0.76,63.2,1.2
68615,RIONEGRO,Santander,4,Perfil quirúrgico con buen registro,625428.0,23529.0,27.87,5.796177320420323,0.4761976726613269,31.51,0.59,66.16,1.74
68655,SABANA DE TORRES,Santander,3,Grandes centros urbanos,1082703.0,29349.0,35.19,6.034509340142651,0.7300333508864315,41.59,0.73,56.96,0.72
68669,SAN ANDRES,Santander,2,Perfil quirúrgico medio,324070.0,12157.0,31.81,5.5106388291269495,0.6321858013506836,38.38,0.64,60.7,0.28
68673,SAN BENITO,Santander,2,Perfil quirúrgico medio,91162.0,6528.0,17.03,4.959813844584641,0.7094700260642919,40.83,0.58,57.54,1.05
68679,SAN GIL,Santander,3,Grandes centros urbanos,3700784.0,57862.0,20.1,6.568293737798266,0.7832466567607728,42.17,0.64,53.83,3.36
68682,SAN JOAQUIN,Santander,1,Alta carga NO DEFINIDO,356102.0,12084.0,44.61,5.551574412838884,0.5904349221633767,36.79,0.23,62.3,0.69
68684,SAN JOSE DE MIRANDA,Santander,2,Perfil quirúrgico medio,210340.0,11356.0,31.56,5.32292186958309,0.6822207084468666,40.06,0.73,58.71,0.5
68686,SAN MIGUEL,Santander,1,Alta carga NO DEFINIDO,244918.0,11152.0,39.91,5.389020704330124,0.472504482964734,31.62,0.34,66.91,1.14
68689,SAN VICENTE DE CHUCURI,Santander,3,Grandes centros urbanos,1010583.0,28702.0,18.5,6.004571988273585,0.5879486763033945,36.2,0.55,61.56,1.7
68705,SANTA BARBARA,Santander,4,Perfil quirúrgico con buen registro,40466.0,3573.0,33.23,4.607090277191581,0.4621347644603458,31.0,0.84,67.07,1.09
68720,SANTA HELENA DEL OPON,Santander,4,Perfil quirúrgico con buen registro,115129.0,5028.0,18.53,5.061184732436169,0.6613881401617251,39.26,0.43,59.35,0.96
68745,SIMACOTA,Santander,4,Perfil quirúrgico con buen registro,188782.0,9426.0,21.82,5.275960582793911,0.563391442155309,35.55,0.51,63.09,0.85
68755,SOCORRO,Santander,3,Grandes centros urbanos,1572404.0,32059.0,27.78,6.196564139940546,0.6458367957453881,38.86,0.5,60.16,0.48
68770,SUAITA,Santander,2,Perfil quirúrgico medio,299947.0,14378.0,27.08,5.477044522582988,0.7297581493165091,41.64,0.65,57.05,0.66
68773,SUCRE,Santander,4,Perfil quirúrgico con buen registro,152327.0,7635.0,7.98,5.182776888967927,0.6063120221246137,37.27,0.71,61.46,0.55
68780,SURATA,Santander,4,Perfil quirúrgico con buen registro,118378.0,7161.0,6.12,5.073270998279008,0.6138743455497383,37.52,0.61,61.11,0.77
68820,TONA,Santander,4,Perfil quirúrgico con buen registro,197510.0,10290.0,17.61,5.29558908899982,0.5073372057474778,33.19,0.69,65.41,0.7
68855,VALLE DE SAN JOSE,Santander,5,Alta demanda de urgencias,191121.0,13562.0,15.55,5.281308409101311,0.5935026385224275,35.99,0.66,60.63,2.72
68861,VELEZ,Santander,1,Alta carga NO DEFINIDO,814202.0,23702.0,40.79,5.910732164842567,0.6028933680104032,37.09,0.63,61.51,0.77
68867,VETAS,Santander,4,Perfil quirúrgico con buen registro,40456.0,3957.0,25.88,4.606982940624488,0.5054091116867285,33.17,0.64,65.62,0.57
68872,VILLANUEVA,Santander,4,Perfil quirúrgico con buen registro,359142.0,17003.0,15.29,5.555266196832102,0.6004914004914005,36.66,0.63,61.04,1.68
68895,ZAPATOCA,Santander,2,Perfil quirúrgico medio,308990.0,17352.0,17.8,5.489944424359803,0.6576714188730483,38.75,0.64,58.91,1.7
68370,JORDAN,Santander,4,Perfil quirúrgico con buen registro,64372.0,4611.0,26.15,4.808697002611498,0.533249882647473,34.08,0.5,63.9,1.52
68377,LA BELLEZA,Santander,2,Perfil quirúrgico medio,170616.0,8827.0,13.33,5.232019755939843,0.5987926252243433,36.7,0.9,61.28,1.12
68385,LANDAZURI,Santander,2,Perfil quirúrgico medio,265126.0,14800.0,26.27,5.423452319595954,0.5952224052718288,36.13,0.97,60.69,2.21
