Año,atenciones_no_def,total_atenciones,pct_no_def
2009,32286560.0,103647922.0,31.15
2010,36498261.0,117239999.0,31.13
2011,43511250.0,147047328.0,29.59
2012,50668690.0,177694743.0,28.51
2013,37147991.0,145608545.0,25.51
2014,60165573.0,208540898.0,28.85
2015,56578300.0,194904245.0,29.03
2016,42508731.0,133987627.0,31.73
2017,59371734.0,211215369.0,28.11
2018,69303242.0,301590731.0,22.98
2019,68872670.0,309991292.0,22.22
2020,49666741.0,244751976.0,20.29
2021,48268658.0,233708510.0,20.65
